SN; Date; Norm; Fire; Prefire; Drift; Timer; BAT_Level
16777215;07.2014;157;289;256;223;26;2.38
16777215;07.2014;157;289;256;223;26;3.38
16777215;07.2014;157;289;256;223;26;3.38
16777215;07.2014;157;289;256;223;26;3.35
16777215;07.2014;157;289;256;223;26;3.36
16777215;07.2014;157;289;256;223;26;3.37
16777215;07.2014;----;----;----;----;20;2.31
16777215;07.2014;3;135;102;197;2;2.31
16777215;07.2014;3;135;230;197;2;2.01
16777215;07.2014;6;138;105;72;2;2.08
16777215;07.2014;----;----;----;----;20;2.1
16777215;07.2014;----;----;----;----;6;2.38
16777215;07.2014;0;0;20;0;4;2.38
16777215;07.2014;11;13;12;15;20;2.39
16777215;07.2014;11;13;12;15;20;2.39
